#: table_doi: 10.17182/hepdata.62783.v1/t127					
#: name: Table 127					
#: description: .					
					
#: data_file: Table127.yaml					
#: keyword reactions: PB PB --> CHARGED X					
#: keyword observables: V3					
#: keyword phrases: Inclusive | Angular Correlation					
#: keyword cmenergies: 2760.0					
#: PT [GEV]	> 0.5				
#: RE	PB PB --> CHARGED X				
#: CENTRALITY [pct]	40.0-45.0				
#: ABS(ETARAP)	< 2.5				
#: SQRT(S)/NUCLEON [GeV]	2760				
#V3	PROB(V3)	stat +	stat -	sys +	sys -
0.002	2.1161	0.0157	-0.0157	0.0751	-0.1672
0.006	6.1553	0.0288	-0.0288	0.2247	-0.474
0.0099	10.0703	0.0398	-0.0398	0.3776	-0.7553
0.0139	13.4906	0.0454	-0.0454	0.5194	-0.9848
0.0179	16.1213	0.0482	-0.0482	0.6368	-1.1446
0.0219	18.2719	0.0482	-0.0482	0.7309	-1.0963
0.0258	19.6838	0.0469	-0.0469	0.7874	-0.7874
0.0298	20.165	0.0461	-0.0461	0.8066	-0.4033
0.0338	19.9763	0.0458	-0.0458	0.879	-0.4395
0.0378	19.3582	0.0494	-0.0494	0.9292	-0.4646
0.0417	18.1205	0.0533	-0.0533	0.9423	-0.4711
0.0457	16.5188	0.053	-0.053	0.9251	-0.4625
0.0497	14.5853	0.0515	-0.0515	0.8751	-0.4376
0.0536	12.5814	0.0486	-0.0486	0.6794	-0.5284
0.0576	10.6156	0.0439	-0.0439	0.5096	-0.5732
0.0616	8.6836	0.0407	-0.0407	0.3647	-0.5731
0.0656	6.9106	0.0379	-0.0379	0.2488	-0.539
0.0695	5.3155	0.0338	-0.0338	0.1595	-0.4784
0.0735	3.9795	0.0318	-0.0318	0.2308	-0.4377
0.0775	2.8744	0.0265	-0.0265	0.2472	-0.3737
0.0815	2.0588	0.0258	-0.0258	0.2471	-0.3315
0.0854	1.3966	0.0229	-0.0229	0.2235	-0.2835
0.0894	0.9555	0.0191	-0.0191	0.1911	-0.2341
0.0934	0.5957	0.0156	-0.0156	0.143	-0.171
0.0974	0.3896	0.0192	-0.0192	0.1091	-0.1282
0.1013	0.2419	0.0109	-0.0109	0.0895	-0.0907
0.1053	0.1367	0.0084	-0.0084	0.0697	-0.0581
0.1093	0.0996	0.0129	-0.0129	0.0647	-0.0473
0.1133	0.0398	0.0042	-0.0042	0.0315	-0.0209

