#: table_doi: 10.17182/hepdata.62783.v1/t91					
#: name: Table 91					
#: description: .										
#: data_file: Table91.yaml					
#: keyword reactions: PB PB --> CHARGED X					
#: keyword observables: V3					
#: keyword phrases: Inclusive | Angular Correlation					
#: keyword cmenergies: 2760.0					
#: PT [GEV]	> 0.5				
#: RE	PB PB --> CHARGED X				
#: CENTRALITY [pct]	20.0-25.0				
#: ABS(ETARAP)	< 2.5				
#: SQRT(S)/NUCLEON [GeV]	2760				
#V3	PROB(V3)	stat +	stat -	sys +	sys -
0.002	2.5434	0.0177	-0.0177	0.1424	-0.1882
0.006	7.7179	0.0364	-0.0364	0.3705	-0.4785
0.0099	12.2448	0.044	-0.044	0.4898	-0.6122
0.0139	16.1189	0.0467	-0.0467	0.5158	-0.6125
0.0179	19.0455	0.0451	-0.0451	0.4571	-0.4952
0.0219	20.963	0.0418	-0.0418	0.4193	-0.4193
0.0258	21.9279	0.0467	-0.0467	0.4386	-0.4386
0.0298	21.9627	0.0558	-0.0558	0.4393	-0.4393
0.0338	20.9592	0.0578	-0.0578	0.4192	-0.4192
0.0378	19.5218	0.0532	-0.0532	0.3514	-0.4685
0.0417	17.3898	0.0508	-0.0508	0.2666	-0.5101
0.0457	15.2992	0.0442	-0.0442	0.1938	-0.5304
0.0497	13.1823	0.0408	-0.0408	0.1318	-0.5273
0.0537	10.6817	0.041	-0.041	0.3205	-0.3845
0.0576	8.6089	0.0394	-0.0394	0.4304	-0.2755
0.0616	6.6046	0.0383	-0.0383	0.4227	-0.2113
0.0656	5.0674	0.0331	-0.0331	0.3649	-0.1824
0.0696	3.728	0.0306	-0.0306	0.2982	-0.1491
0.0735	2.7474	0.0283	-0.0283	0.2198	-0.1539
0.0775	1.9118	0.0258	-0.0258	0.1529	-0.1376
0.0815	1.2296	0.022	-0.022	0.1254	-0.107
0.0855	0.8159	0.0212	-0.0212	0.1191	-0.0824
0.0894	0.477	0.0164	-0.0164	0.0906	-0.0549
0.0934	0.3077	0.0161	-0.0161	0.072	-0.0397
0.0974	0.2133	0.0145	-0.0145	0.0593	-0.0305
0.1014	0.0992	0.0088	-0.0088	0.0347	-0.0213
0.1053	0.0431	0.0062	-0.0062	0.0194	-0.0149
0.1093	0.0295	0.0079	-0.0079	0.0162	-0.014

