#: table_doi: 10.17182/hepdata.62783.v1/t130					
#: name: Table 130					
#: description: .					
					
#: data_file: Table130.yaml					
#: keyword reactions: PB PB --> CHARGED X					
#: keyword observables: V4					
#: keyword phrases: Inclusive | Angular Correlation					
#: keyword cmenergies: 2760.0					
#: PT [GEV]	> 0.5				
#: RE	PB PB --> CHARGED X				
#: CENTRALITY [pct]	40.0-45.0				
#: ABS(ETARAP)	< 2.5				
#: SQRT(S)/NUCLEON [GeV]	2760				
#V4	PROB(V4)	stat +	stat -	sys +	sys -
0.001	4.0198	0.0311	-0.0311	0.2331	-0.4703
0.003	11.6723	0.0603	-0.0603	0.6303	-1.2956
0.005	18.8478	0.0793	-0.0793	0.9424	-1.979
0.0069	25.5425	0.095	-0.095	1.175	-2.5287
0.0089	30.1368	0.1031	-0.1031	1.2657	-2.8027
0.0109	34.0983	0.1126	-0.1126	1.5003	-2.8643
0.0129	36.5889	0.1111	-0.1111	1.9026	-2.6344
0.0149	38.0027	0.1001	-0.1001	2.2802	-2.2802
0.0169	37.9036	0.0983	-0.0983	2.5774	-1.8194
0.0188	36.4957	0.094	-0.094	2.7737	-1.3138
0.0208	34.7756	0.0881	-0.0881	2.8516	-1.078
0.0228	31.6447	0.0828	-0.0828	2.7214	-1.0443
0.0248	28.7455	0.0865	-0.0865	2.5871	-1.0061
0.0268	25.5673	0.0915	-0.0915	2.4033	-0.946
0.0288	21.8696	0.085	-0.085	2.1432	-0.8529
0.0307	18.5886	0.0809	-0.0809	1.7659	-0.9108
0.0327	15.1247	0.0748	-0.0748	1.2856	-1.0134
0.0347	12.4154	0.0714	-0.0714	0.9312	-1.0553
0.0367	9.9045	0.0644	-0.0644	0.6438	-1.0202
0.0387	7.8585	0.0602	-0.0602	0.4322	-0.9509
0.0406	6.051	0.0512	-0.0512	0.3691	-0.9803
0.0426	4.557	0.0493	-0.0493	0.3782	-1.0299
0.0446	3.3661	0.0441	-0.0441	0.3534	-0.9762
0.0466	2.3492	0.0317	-0.0317	0.2984	-0.8316
0.0486	1.7638	0.0273	-0.0273	0.2628	-0.7373
0.0506	1.2146	0.0226	-0.0226	0.2381	-0.5749

