#: table_doi: 10.17182/hepdata.62783.v1/t58					
#: name: Table 58					
#: description: .					
					
#: data_file: Table58.yaml					
#: keyword reactions: PB PB --> CHARGED X					
#: keyword observables: V4					
#: keyword phrases: Inclusive | Angular Correlation					
#: keyword cmenergies: 2760.0					
#: PT [GEV]	> 0.5				
#: RE	PB PB --> CHARGED X				
#: CENTRALITY [pct]	0.0-5.0				
#: ABS(ETARAP)	< 2.5				
#: SQRT(S)/NUCLEON [GeV]	2760				
#V4	PROB(V4)	stat +	stat -	sys +	sys -
0.001	10.5254	0.0467	-0.0467	0.2947	-0.9262
0.003	30.197	0.1123	-0.1123	0.7247	-1.9326
0.005	45.8554	0.1344	-0.1344	0.9171	-1.8342
0.007	56.6985	0.14	-0.14	1.134	-1.5876
0.009	61.4892	0.1052	-0.1052	1.2298	-0.9838
0.011	60.6907	0.0941	-0.0941	1.6993	-0.8497
0.013	55.6065	0.1072	-0.1072	2.4467	-1.2233
0.015	48.2224	0.1334	-0.1334	2.8933	-1.4467
0.017	38.7883	0.1284	-0.1284	2.0946	-1.5515
0.019	29.9623	0.1183	-0.1183	1.4382	-1.4981
0.021	21.5991	0.0942	-0.0942	0.9072	-1.2959
0.023	14.8036	0.0774	-0.0774	0.5329	-1.0362
0.025	9.7421	0.0559	-0.0559	0.2923	-0.7794
0.027	6.1467	0.0475	-0.0475	0.3319	-0.7007
0.029	3.6456	0.04	-0.04	0.2844	-0.5395
0.031	2.0859	0.0351	-0.0351	0.2128	-0.3796
0.034	0.894	0.019	-0.019	0.1234	-0.2083

